Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP,PT,23
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP,PT,16
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP1,PT,20
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP2,PT,10
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP3,PT,9
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP4,PT,18
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP5,PT,22
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP6,PT,11
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_DYN_NMRT,NP7,PT,25
