Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,,PT,64.4
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,,PT,65.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,NP1,PT,76.9
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,NP2,PT,55.8
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,NP3,PT,73.9
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,NP4,PT,79.5
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,NP5,PT,60.0
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,NP6,PT,55.0
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SE_DEV_ONTRK,NP7,PT,59.9
