Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,,PT,81.7
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,,PT,82.0
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,NP1,PT,87.6
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,NP2,PT,80.6
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,NP3,PT,81.0
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,NP4,PT,83.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,NP5,PT,84.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,NP6,PT,79.0
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,VC_VAW_PHYPYV,NP7,PT,75.4
