Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP,PT,58.1
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP,PT,77.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP1,PT,78.4
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP2,PT,76.1
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP3,PT,70.8
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP4,PT,73.8
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP5,PT,76.7
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP6,PT,84.4
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SG_REG_BRTH,NP7,PT,89.1
