From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,SEX
AGE,REF_AREA
SEX,AGE
