Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,,Y15T49,PT,61.9
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,NP1,Y15T49,PT,62.1
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,NP2,Y15T49,PT,66.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,NP3,Y15T49,PT,61.2
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,NP4,Y15T49,PT,49.4
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,NP5,Y15T49,PT,63.4
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,NP6,Y15T49,PT,62.3
2019,A,0,_X,Nepal Multiple Indicator Cluster Survey 2014 and 2019,A,N,SH_FPL_MTMM,NP7,Y15T49,PT,62.4
